"GEOID","wlk_tr_d"
"42091200901",2020.95142922215
"42091200301",1729.94866067902
"42091200507",1633.06987162236
"42091201901",2232.53141408945
"42091200103",1677.06567582858
"42091208901",872.279909528169
"42091204010",1011.57017648785
"42091206300",10506.4947280164
"42091207900",910.702807740481
"42091208604",1585.52593558918
"42091204701",1134.03375032022
"42091206006",492.297238585025
"42091209202",808.844688648355
"42091202401",2562.65846338426
"42091204800",2299.71822386457
"42091202301",1329.14010746739
"42091203902",1502.75633647725
"42091205808",1209.35587293172
"42091208203",1952.8806810535
"42091207600",1092.32533004368
"42017105008",1557.29743712492
"42017102104",2866.58661927419
"42017103101",814.349375707817
"42017105003",1806.80509763289
"42017105009",1135.35486720218
"42017100307",990.532258710027
"42017100407",158.328449161864
"42017100804",840.888897251925
"42017102002",1230.14143174119
"42017102004",1329.20350353399
"42017104400",1944.52938521412
"42017103800",585.459831350704
"42017104902",2012.05995190971
"42017105202",1242.31958745833
"42017105805",1940.37581792116
"42017105810",550.614209085134
"42017100210",1476.13437347353
"42017100212",1663.65702754327
"42017100306",945.164693069137
"42017100401",1376.28040669706
"42017100500",965.513320791927
"42017100600",1815.43556286858
"42017100700",2597.85095065412
"42017100803",1817.03942129205
"42101024400",868.595835245701
"42101035900",1542.31454003467
"42101036201",847.508016372445
"42101036202",1340.90290335
"42101010600",518.24865856545
"42101024600",2179.46064352974
"42101024900",679.725637078654
"42101025800",378.796138329438
"42101026500",1362.26625440353
"42101026700",2276.83394466155
"42101034000",1634.73972221598
"42101026800",1043.0416488793
"42101031900",1676.87923681366
"42101033000",3038.90299874979
"42101034600",1449.32230645889
"42101034801",1212.30020123999
"42101006100",1526.29180988308
"42101008400",3574.80621240456
"42101009000",28611.6170631123
"42101010200",1662.27079370539
"42101010900",2814.43449662511
"42101014200",3621.35883407887
"42101016100",3829.5037009419
"42101016901",1002.13779104202
"42101017400",1236.37604769825
"42101025900",1499.17507771628
"42101029000",4048.96212478714
"42101030100",2013.29447294209
"42101013700",3488.81392693463
"42101011500",1389.21940767445
"42101012000",2692.02835250866
"42101012100",695.02281680387
"42101016600",2045.53397462825
"42091207500",1811.9779098493
"42091208000",1884.03932376146
"42091208201",648.549699552791
"42091200402",1410.90237143648
"42091200603",1407.95341870543
"42091200703",1530.6903056915
"42091200708",2023.64987710443
"42091205806",619.32397353217
"42091203801",2390.48149878169
"42091204008",1668.01597204802
"42091204702",1251.72732703951
"42017101405",2195.86921756973
"42017101506",2074.66437615446
"42017101603",915.82024775004
"42017101610",2190.65328703118
"42017102600",602.392198641045
"42017100206",1371.12824964764
"42017100406",644.152276876295
"42017103103",3059.30366230605
"42017103700",3627.75688741792
"42017104800",2603.27877875842
"42017105004",2078.30827923994
"42017101803",2398.25945126555
"42017103900",1645.7461763955
"42017105100",1263.39366680889
"42017103400",2609.78836525959
"42017100404",1736.16526984287
"42101017602",2085.36572597627
"42091206007",2308.88668414821
"42017100807",1450.48491460826
"42017101609",1514.90131690373
"42101017300",944.887845865205
"42101017500",3027.13363767542
"42101025300",1529.7449199637
"42101023800",1019.04923705624
"42101025200",1877.54668150779
"42101026200",565.533131621765
"42101027300",3907.61668568288
"42101028400",2326.13722306115
"42101028600",1856.24587217024
"42101000100",7732.79312574615
"42101001300",16275.7545750594
"42101030700",1726.05770373028
"42101031200",2661.61824595698
"42101023100",619.677631863453
"42101023500",306.707129799551
"42101004001",2917.975823252
"42101001900",10844.3090792652
"42101003100",1706.98929246203
"42101003200",901.109717764788
"42101006200",1213.93545952057
"42101007200",3333.30072342417
"42101007400",3293.73729025494
"42101009200",3816.70173776176
"42101016400",2589.81022540208
"42091206802",1162.07842750201
"42091207004",1743.7257582446
"42091207104",755.791352847657
"42091207300",1025.2382481772
"42091208100",1677.65169249455
"42091208302",3624.08788428492
"42091208400",865.280384162518
"42091208500",1830.43845764408
"42091208703",1205.32087276411
"42091208802",2329.01224877977
"42091209100",1630.46699573413
"42091203402",1323.6112703086
"42091200105",1323.27736029139
"42091200307",1249.11034795875
"42091200707",1749.74793648634
"42091201003",1290.45978651256
"42091201100",2486.41323817766
"42091201301",1198.17032625076
"42091201604",1302.39874303823
"42091207103",829.829197674742
"42091207202",1369.66330960812
"42091201800",1397.08608416212
"42091202302",1032.87202766561
"42091202602",667.257278386846
"42091202603",4360.11669203967
"42091203401",869.56180375683
"42091203601",847.639015413558
"42101031502",1375.39855480788
"42101031401",2396.82577606252
"42101033701",1191.27147796113
"42101033702",1256.52758324969
"42091204009",753.327215891882
"42091204300",1649.38885141143
"42091205200",1781.38430154671
"42091205807",957.503313981061
"42091205906",878.576238238712
"42091206102",3545.78579824732
"42091206105",2909.14945184235
"42091206904",1569.1939464434
"42091202100",2706.24966326298
"42091202604",976.775828577115
"42091203500",3688.85095579386
"42091203804",847.345578709562
"42091204600",2542.34473680008
"42091205300",2794.68037109992
"42091205809",877.601783979878
"42091206004",1694.11974626399
"42091208301",519.672394940311
"42091208601",1939.26907642064
"42091206106",1529.17221133544
"42091206600",450.711207168486
"42091206905",1895.71000266512
"42091207201",457.920340572947
"42101027901",1881.37101146219
"42101031402",2062.99971703625
"42101016701",1352.21189104157
"42101016702",975.25997938884
"42101027902",8176.79045572732
"42101008101",666.17856287164
"42029302706",1443.37023157844
"42029311403",1648.46860078916
"42029303501",3171.85053566041
"42029303902",2030.97012043669
"42029304406",1943.72618999763
"42029302705",1501.74450340401
"42029303502",611.182633657217
"42029303302",2627.80770666085
"42029303301",2422.58932026028
"42029306503",1051.93351525684
"42029306504",3219.94024982657
