"GEOID","pop_dens","pct_coll","job_dens","bl_pov","ta_dens","swalk_dens","road_dens","med_inc","pct_zc","pct_nw","crash_cnt","litter_scr","trans_scr","lu_mix","pct_wlk","s_r_ratio","ppl_dens","ppl_interaction"
"42091200901",5.75343914027805,4.18899171943497,1.79618249780738,8.16376562883059,25.0217826539015,26.4848811037988,16.306670831033,60.893,1.03499260719566,36.4849052188158,7,0,2.62605287697399,35.8871291551968,3.78006872852234,1.62417463246979,7.54962163808543,10.3342266859674
"42091200301",3.96422204746887,4.45826853291861,4.232839554541,7.87530762920427,186.743917770381,14.9098652397781,16.9537335188847,57.206,0.37989479836353,33.5849056603774,13,0,2.3699089650733,23.7284965310231,0.672121566335476,0.879444355024812,8.19706160200986,16.7799158855097
"42091200507",2.03484383388837,6.27413127413127,6.483116018922,0.700890320136389,251.326696242798,8.21978958101887,9.46603077211452,95.682,0,14.7596606974552,7,0,1.5323722145742,24.9390525689326,0.874831763122476,0.868345960297649,8.51795985281036,13.1921286554863
"42091201901",2.81924503892204,5.47802541137263,0.369017103010835,3.76289702609751,255.371363486163,15.2521264227376,13.5453981857842,100.118,0.621375310687655,11.1470766740846,10,1.8113809776203,1.63652705909595,35.6460467187443,2.89855072463768,1.12600059544537,3.18826214193287,1.04034963694068
"42091200103",2.15172711660929,6.71006509764647,0.638281501321799,3.56519571179257,24.5146440065722,16.3240126054249,13.6586571894042,128.571,0,20.9291071860634,7,0,1.3908861931659,24.8992196952913,0.93870789618995,1.19514036988119,2.79000861793109,1.37340761442421
"42091208901",5.89842223232191,5.15701526937482,0.501043436050894,14.4984546220849,0,26.3280028808768,21.9415833981445,53.311,5.17336268574573,26.2685730305579,7,0,2.0935792740987,34.0939275969346,0.880572372041827,1.19991353418474,6.3994656683728,2.95536574256155
"42091204010",2.81416023139624,4.89649681528662,2.10176892615526,2.05871139916127,32.3055628703452,18.6644695031917,13.0899720243276,103.527,0.748808713410483,18.1471597407549,7,0,1.8312038794146,31.3226002611708,1.1572498298162,1.42586015222217,4.91592915755149,5.9147145275705
"42091206300",3.61259085248827,38.4450923226433,1.28215492236368,1.15273775216138,40.2475326365927,17.5675361485349,12.3981394083837,103.828,3.03915838690824,19.9578624784524,6,0,1.24621330354386,30.610071048888,21.0636515912898,1.41694939618566,4.89474577485195,4.63190114400384
"42091207900",3.75619435614991,1.87074829931973,0.692890221037361,8.94012944983819,0,22.8124017377375,17.9434705398288,57.163,2.7027027027027,5.90614886731392,3,0,0.435022119772369,11.1569261954822,3.12771503040834,1.2713483541047,4.44908457718727,2.602630337692
"42091208604",1.41200240373295,6.1451527458944,0.910331425228247,8.69111767773336,37.7604624223754,6.06418394362587,9.27959081643714,83.357,1.02513227513228,18.2399723374827,8,0,0.939167259122859,10.8298918618169,0,0.65349691204964,2.3223338289612,1.28539016061593
"42091204701",2.06267275668568,0.835380835380835,0.272352907678886,5.14563106796117,55.6191176484293,0.799508224993693,10.3535340597266,110.969,0,9.75728155339806,9,1.35903160220088,1.69061984866554,51.3939457381566,1.2512030798845,0.0772208040637675,2.33502566436457,0.561774922873368
"42091206006",1.51450274894495,4.13318025258324,3.67559675659595,2.58620689655172,109.992419707394,7.73679199933265,10.6153183833009,73.843,0,5.43840177580466,4,0,1.45210618286375,58.1063124237269,0.993788819875776,0.728832779194216,5.19009950554089,5.56670139187769
"42091209202",6.09221321121488,4.85074626865672,0.574431790167672,19.2563081009296,0,49.4103661834363,27.3440285335321,47.891,4.27509293680297,23.5502434705622,3,0,1.33451254699503,38.337341547757,2.41187384044527,1.80698927090586,6.66664500138256,3.49956094100131
"42091202401",14.0595359222648,21.0717276025677,0.971733911361973,16.003293988471,1775.17870895426,23.0401082050579,11.8912664333895,41.25,14.9713782474681,85.5510204081633,6,1.5,5.00692645912166,56.2175070726644,5.15191545574637,1.93756555150119,15.0312698336267,13.6621278336765
"42091204800",0.905918974311654,4.44489963129865,0.26186579841131,2.38811960666265,15.5348321572255,0.484696150912843,8.45745125042496,197.902,0,11.4552312884654,13,1.34751773,1.03420425185808,41.2482830636909,2.41248817407758,0.0573099550397631,1.16778477272296,0.237229195504076
"42091202301",4.61341258293624,10.8964277690407,2.97756497710906,5.06134969325153,353.597615568638,23.8221094085056,19.1305319807898,104.808,0.371134020618557,26.3100436681223,8,0,2.91382136087242,25.5773740356598,0.494437577255871,1.24524030133751,7.5909775600453,13.7367357319052
"42091203902",5.61751770137916,3.83552176917761,5.37959503119465,39.508567733592,10759.1698823333,30.2158927687017,22.5065987494207,28.409,15.3475567790778,69.8027804720336,9,0,4.89942226631787,37.2596380899141,4.32692307692308,1.34253483190033,10.9971127325738,30.2199703139873
"42091205808",3.34837242613041,5.39312524693797,2.07763181987949,6.25373431587333,45.4835738788803,17.2315331645455,10.7225275509055,90.795,2.90215588723051,26.5676249276481,7,0,2.23753601508765,30.9458989888593,0,1.60704023214101,5.42600424600989,6.95668509733561
"42091208203",1.68812022029454,6.38619201725998,0.720198662122728,6.53129579233829,0,3.59220255446462,9.15408389810916,76.14,0.35405192761605,4.08205987021143,5,0,0.63042252608288,25.415568299021,1.84893784421715,0.392415297308626,2.40831888241727,1.21578192415845
"42091207600",0.405665413352495,3.44266738953646,0.0739416442538871,5.10717120931463,0,0.523187345418064,4.2233211919828,75.473,1.40551795939615,2.15675960021041,7,0,0.216843758791165,5.94083126573841,0.571725571725572,0.123880548420338,0.479607057606382,0.0299955676802162
