"GEOID","wlk_tr_d","wlk_cnt_d","sqmi","e_wlk_den","a_wlk_den"
"42017100102",496.926679622964,1629.90223695142,3.96221326333723,125.416439397919,411.361561991899
"42017100103",369.302341926585,1541.92129164603,0.591497733155803,624.35123792657,2606.80845456407
"42017100104",1250.20644625387,1613.25051230182,0.755898998277015,1653.93319623862,2134.2143804649
"42017100105",791.748079691494,1628.35909161959,1.02715670489518,770.815276693625,1585.30736727825
"42017100201",720.532897986973,1633.0266574025,2.52810906116071,285.008629198996,645.947867712931
"42017100206",1538.08598716225,1653.93692980528,1.82010073860477,845.055416186082,908.706257145487
"42017100207",1564.18316324356,1647.00022172523,1.99544001598514,783.878819064038,825.381975169076
"42017100208",3432.26687706185,1630.8378477333,1.62062273610313,2117.86913795552,1006.30320148089
"42017100209",3630.98698015245,1659.37331715405,1.85366329059559,1958.81689979727,895.185941035107
"42017100210",1473.52720014684,1667.72209449108,2.57058562416115,573.226266535156,648.77126784497
"42017100211",2001.68005486507,1661.43581087153,1.16009690944133,1725.44210623665,1432.15260496784
"42017100212",1552.12827076738,1667.37310033317,1.05255466936404,1474.62959971969,1584.12018763892
"42017100302",966.00686836317,1692.36263191676,3.50488101118391,275.617593088235,482.858797921103
"42017100303",1217.7554328162,1682.19231299286,2.52944045287939,481.432734038064,665.045232070173
"42017100304",784.85690366429,1677.1580595479,1.57873074606426,497.144244274028,1062.34585202639
"42017100306",855.898871871081,1685.13958646251,0.612871762880345,1396.53827066297,2749.57942024082
"42017100307",926.088006399274,1683.0701558693,0.92100466819285,1005.5193403269,1827.42847457195
"42017100401",1275.69885302232,1670.24122055161,1.25276541349068,1018.30625214001,1333.24340101128
"42017100402",1434.59501514145,1666.81368051997,1.33090438793827,1077.90989957123,1252.39175377734
"42017100403",657.954928115755,1670.68676857089,1.8098408682787,363.542972008098,923.112522130106
"42017100404",1919.83834996795,1655.15023855433,1.13944175393211,1684.89380290195,1452.59749596024
"42017100406",704.422984560953,1643.69484384345,1.09367367797129,644.088816206697,1502.91158775295
"42017100407",175.010127196742,1629.31038184263,0.249873315462216,700.395425870136,6520.54573666148
"42017100408",1280.35242252089,1646.84270563199,1.19211606452312,1074.01658330397,1381.44494033874
"42017100500",1530.55103559761,1687.95368270608,0.67692866016293,2261.02265374496,2493.5473736624
"42017100600",1129.83537967491,1695.02662024171,0.562508245242973,2008.56678853993,3013.33648808926
"42017100700",2591.56827718329,1691.14333829298,0.732381844881864,3538.54795185607,2309.10057384857
"42017100803",1763.97911608706,1655.8467640396,1.19996752013227,1470.02238518308,1379.90965276884
"42017100804",828.356142648926,1662.50781636824,0.985054810991288,840.92390941711,1687.73127933379
"42017100805",1716.00199724048,1661.67106030977,1.5294413834458,1121.97957752023,1086.45619132265
"42017100807",1188.465525272,1655.0767484265,3.3853231902029,351.06412549071,488.89770796959
"42017100808",1413.51889527478,1657.97844842164,3.82761370596684,369.295076217136,433.162428548376
"42017100809",1326.50151213859,1644.04942045192,3.05381853377257,434.374700876505,538.35858361267
"42017100811",1065.74604138745,1667.42242862026,0.72248590721563,1475.10979901974,2307.89612913876
"42017100900",2583.29298246918,1662.30954588866,3.59613130167067,718.353354136165,462.249402605626
"42017101100",1647.77054900613,1664.9770260731,0.411989915037429,3999.54098113404,4041.30529729554
"42017101401",1680.14672755956,1621.47432494299,2.31008338905853,727.309990417403,701.911598785974
"42017101403",954.859659206383,1658.5685008757,1.82119337139786,524.304378767578,910.704226648191
"42017101404",647.704893191942,1649.44449859183,1.21519529215241,533.004774931852,1357.34931598546
"42017101405",2272.15283508154,1643.76818525889,1.34622767526615,1687.79239710128,1221.01797152099
"42017101503",999.181162788107,1648.7066977912,2.00337055126687,498.750050087466,822.966423634711
"42017101504",654.889691697603,1666.01972812235,0.993773576519833,658.992860316339,1676.45806598793
"42017101505",782.290462558987,1658.2278651035,1.83686374647674,425.883772848958,902.74951981829
"42017101506",1735.61172214001,1668.58224639741,1.79452305832684,967.171591407826,929.81934038404
"42017101603",991.53666090047,1680.6751164798,0.7793737145642,1272.22235286047,2156.44316080069
"42017101605",1301.05149658189,1678.3909169567,0.820907547606892,1584.89406069504,2044.55534834531
"42017101607",728.403789713437,1673.65398254316,1.02661343895037,709.520996002321,1630.26697201074
"42017101609",1652.81544541493,1679.88421510653,1.69748659264918,973.683946943857,989.630328970566
"42017101610",2261.94339910418,1679.49290888855,1.84470059943941,1226.18456338745,910.442003108221
"42017101611",1387.64388745999,1680.86489356368,1.94919053385451,711.907770614878,862.339963369195
"42017101802",2720.35127236032,1658.95176505042,5.05777616694876,537.85521196788,328.000233757127
"42017101803",2400.70424510333,1671.12873235428,5.58378438356361,429.942146793853,299.282461062323
"42017101805",496.674705382523,1673.80355667968,1.02139105152748,486.272818466298,1638.74899253966
"42017101807",1120.08444420871,1676.06688279752,1.09659401376713,1021.42126452148,1528.42972126003
"42017101808",730.190813383238,1677.60424074922,1.01138349891561,721.972243136391,1658.72217862751
"42017101900",1222.64589471453,1646.97135285978,1.64346766945399,743.942772613668,1002.13188459433
"42017102002",1011.62547992367,1650.30288930478,8.38457204917493,120.653203764075,196.826132523624
"42017102003",1454.72130258093,1635.25841409272,4.82454113859966,301.525318323468,338.945894980461
"42017102004",1896.39178040259,1649.25684716275,2.05858728646543,921.210284776738,801.159541791648
"42017102102",2087.55260578028,1641.26647542892,10.6918169474291,195.247694198716,153.506787807808
"42017102104",2660.57485242374,1613.60112410099,8.39185885022249,317.042374032923,192.281728387056
"42017102300",1859.63063182298,NA,13.064798870567,142.339017251344,NA
